,class,Filename,Duration,Channels,Sample_rate,Bit_depth,path
0,808,Z-808 (Murda).wav,6.86,2,44100,16,E:\Documents\My Projects\Filtr\Data\Audio\808\Z-808 (Murda).wav
1,808,Z-808 (Perfection).wav,6.05,2,44100,16,E:\Documents\My Projects\Filtr\Data\Audio\808\Z-808 (Perfection).wav
2,808,Dirty Diana 808.wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\Dirty Diana 808.wav
3,808,808 xxxplosive.wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 xxxplosive.wav
4,808,808 Wolves.wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 Wolves.wav
5,808,808 Tiggy.wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 Tiggy.wav
6,808,808 tiggy 3.wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 tiggy 3.wav
7,808,808 tiggy 2 .wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 tiggy 2 .wav
8,808,808 stortion .wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 stortion .wav
9,808,808 spook.wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 spook.wav
10,808,808 short sub.wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 short sub.wav
11,808,808 Shaking.wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 Shaking.wav
12,808,808 Rich .wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 Rich .wav
13,808,808 pyrex.wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 pyrex.wav
14,808,808 pyrex 3.wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 pyrex 3.wav
15,808,808 pyrex 2.wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 pyrex 2.wav
16,808,808 Pound.wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 Pound.wav
17,808,808 Party .wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 Party .wav
18,808,808 nerd .wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 nerd .wav
19,808,808 low .wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 low .wav
20,808,808 hit .wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 hit .wav
21,808,808 Erry .wav,5.15,2,44100,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808 Erry .wav
22,808,808. dub 808.wav,4.0,2,96000,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808. dub 808.wav
23,808,808. subb.wav,3.79,2,96000,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808. subb.wav
24,808,808. 69.wav,2.56,2,96000,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808. 69.wav
25,808,808. too much.wav,2.53,2,96000,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808. too much.wav
26,808,Z-808 (Thunder).wav,2.02,2,44100,16,E:\Documents\My Projects\Filtr\Data\Audio\808\Z-808 (Thunder).wav
27,808,Z-808 (Subby).wav,2.02,2,44100,16,E:\Documents\My Projects\Filtr\Data\Audio\808\Z-808 (Subby).wav
28,808,Z-808 (Spinz).wav,2.02,2,44100,16,E:\Documents\My Projects\Filtr\Data\Audio\808\Z-808 (Spinz).wav
29,808,Z-808 (Punchy).wav,2.02,2,44100,16,E:\Documents\My Projects\Filtr\Data\Audio\808\Z-808 (Punchy).wav
30,808,Z-808 (Bouncy).wav,1.79,2,44100,16,E:\Documents\My Projects\Filtr\Data\Audio\808\Z-808 (Bouncy).wav
31,808,808. killa.wav,1.5,2,96000,24,E:\Documents\My Projects\Filtr\Data\Audio\808\808. killa.wav
32,808,Z-808 (Lucid).wav,1.01,2,44100,16,E:\Documents\My Projects\Filtr\Data\Audio\808\Z-808 (Lucid).wav
33,808,Z-808 (Drunk).wav,1.01,2,44100,16,E:\Documents\My Projects\Filtr\Data\Audio\808\Z-808 (Drunk).wav
34,808,Z-808 (Angry).wav,1.01,2,44100,16,E:\Documents\My Projects\Filtr\Data\Audio\808\Z-808 (Angry).wav
35,808,808 (PND).wav,0.5,1,44100,16,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (PND).wav
36,808,808#9.wav,2.31,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#9.wav
37,808,808#8.wav,2.77,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#8.wav
38,808,808#7.wav,1.85,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#7.wav
39,808,808#6.wav,1.85,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#6.wav
40,808,808#5 (very hard).wav,1.38,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#5 (very hard).wav
41,808,808#4.wav,3.23,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#4.wav
42,808,808#3.wav,2.54,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#3.wav
43,808,808#2.wav,7.85,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#2.wav
44,808,808#14.wav,2.31,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#14.wav
45,808,808#13.wav,3.69,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#13.wav
46,808,808#12.wav,1.85,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#12.wav
47,808,808#11.wav,3.23,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#11.wav
48,808,808#10.wav,2.54,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#10.wav
49,808,808#1.wav,2.77,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808#1.wav
50,808,808 (YZY).wav,3.74,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (YZY).wav
51,808,808 (Traffic).wav,0.37,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (Traffic).wav
52,808,808 (Subby).wav,2.02,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (Subby).wav
53,808,808 (PerfectTiming).wav,2.7,2,48000,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (PerfectTiming).wav
54,808,808 (Gawd).wav,3.43,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (Gawd).wav
55,808,808 (Freeband).wav,2.99,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (Freeband).wav
56,808,808 (FATBITCH).wav,5.06,1,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (FATBITCH).wav
57,808,808 (BigRings).wav,4.88,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (BigRings).wav
58,808,808 (6ix).wav,1.04,2,48000,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (6ix).wav
59,808,808 (ZayTen).wav,0.79,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (ZayTen).wav
60,808,808 (ZayMain).wav,1.06,1,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (ZayMain).wav
61,808,808 (ZayDistort).wav,0.99,1,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (ZayDistort).wav
62,808,808 (WillAFool).wav,1.95,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (WillAFool).wav
63,808,808 (Sub).wav,1.81,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (Sub).wav
64,808,808 (SRedd-2).wav,3.08,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (SRedd-2).wav
65,808,808 (SRedd-1).wav,3.79,1,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (SRedd-1).wav
66,808,808 (Sizzle).wav,4.06,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (Sizzle).wav
67,808,808 (Plugg).wav,3.06,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (Plugg).wav
68,808,808 (Plat-Main).wav,6.01,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (Plat-Main).wav
69,808,808 (Plat-Distort).wav,5.99,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (Plat-Distort).wav
70,808,808 (OgZay).wav,0.7,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (OgZay).wav
71,808,808 (Metro).wav,1.76,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (Metro).wav
72,808,808 (Kingpin).wav,1.38,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (Kingpin).wav
73,808,808 (KeyWane).wav,0.9,2,48000,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (KeyWane).wav
74,808,808 (GOTDAMNBITCH).wav,2.39,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (GOTDAMNBITCH).wav
75,808,808 (DRich-3).wav,3.87,1,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (DRich-3).wav
76,808,808 (DRich-2).wav,1.14,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (DRich-2).wav
77,808,808 (DRich-1).wav,1.98,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (DRich-1).wav
78,808,808 (Dreyzah).wav,2.34,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 (Dreyzah).wav
79,808,808. tremor.wav,1.44,2,48000,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808. tremor.wav
80,808,808. sauce.wav,1.64,2,48000,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808. sauce.wav
81,808,808. riptomyspeaker.wav,2.49,2,48000,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808. riptomyspeaker.wav
82,808,808. quaker.wav,2.98,2,48000,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808. quaker.wav
83,808,808. nagasaki.wav,1.68,2,48000,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808. nagasaki.wav
84,808,808 [ Zay ].wav,1.05,2,44100,32,E:\Documents\My Projects\Filtr\Data\Audio\808\808 [ Zay ].wav
